GEO_ID,NAME,Total
37001,"Alamance County, North Carolina",156158
37003,"Alexander County, North Carolina",35748
37005,"Alleghany County, North Carolina",10850
37007,"Anson County, North Carolina",23469
37009,"Ashe County, North Carolina",26451
37011,"Avery County, North Carolina",14231
37013,"Beaufort County, North Carolina",46721
37015,"Bertie County, North Carolina",18322
37017,"Bladen County, North Carolina",33290
37019,"Brunswick County, North Carolina",125787
37021,"Buncombe County, North Carolina",248033
37023,"Burke County, North Carolina",87000
37025,"Cabarrus County, North Carolina",199612
37027,"Caldwell County, North Carolina",80561
37029,"Camden County, North Carolina",10447
37031,"Carteret County, North Carolina",67559
37033,"Caswell County, North Carolina",21830
37035,"Catawba County, North Carolina",153965
37037,"Chatham County, North Carolina",68973
37039,"Cherokee County, North Carolina",27293
37041,"Chowan County, North Carolina",13875
37043,"Clay County, North Carolina",10785
37045,"Cleveland County, North Carolina",95262
37047,"Columbus County, North Carolina",53198
37049,"Craven County, North Carolina",97756
37051,"Cumberland County, North Carolina",316425
37053,"Currituck County, North Carolina",25612
37055,"Dare County, North Carolina",35537
37057,"Davidson County, North Carolina",162196
37059,"Davie County, North Carolina",41671
37061,"Duplin County, North Carolina",58382
37063,"Durham County, North Carolina",292926
37065,"Edgecombe County, North Carolina",52536
37067,"Forsyth County, North Carolina",361175
37069,"Franklin County, North Carolina",63272
37071,"Gaston County, North Carolina",213482
37073,"Gates County, North Carolina",11490
37075,"Graham County, North Carolina",8424
37077,"Granville County, North Carolina",56091
37079,"Greene County, North Carolina",18635
37081,"Guilford County, North Carolina",506440
37083,"Halifax County, North Carolina",50311
37085,"Harnett County, North Carolina",126783
37087,"Haywood County, North Carolina",59656
37089,"Henderson County, North Carolina",112230
37091,"Hertford County, North Carolina",21932
37093,"Hoke County, North Carolina",51554
37095,"Hyde County, North Carolina",4761
37097,"Iredell County, North Carolina",170787
37099,"Jackson County, North Carolina",38442
37101,"Johnston County, North Carolina",189205
37103,"Jones County, North Carolina",9655
37105,"Lee County, North Carolina",59157
37107,"Lenoir County, North Carolina",55958
37109,"Lincoln County, North Carolina",80601
37111,"McDowell County, North Carolina",44037
37113,"Macon County, North Carolina",34140
37115,"Madison County, North Carolina",20337
37117,"Martin County, North Carolina",22864
37119,"Mecklenburg County, North Carolina",1039018
37121,"Mitchell County, North Carolina",14614
37123,"Montgomery County, North Carolina",26248
37125,"Moore County, North Carolina",94456
37127,"Nash County, North Carolina",92007
37129,"New Hanover County, North Carolina",217333
37131,"Northampton County, North Carolina",19290
37133,"Onslow County, North Carolina",173402
37135,"Orange County, North Carolina",131789
37137,"Pamlico County, North Carolina",12007
37139,"Pasquotank County, North Carolina",37045
37141,"Pender County, North Carolina",57752
37143,"Perquimans County, North Carolina",13294
37145,"Person County, North Carolina",38722
37147,"Pitt County, North Carolina",170510
37149,"Polk County, North Carolina",20149
37151,"Randolph County, North Carolina",141181
37153,"Richmond County, North Carolina",43638
37155,"Robeson County, North Carolina",129821
37157,"Rockingham County, North Carolina",89819
37159,"Rowan County, North Carolina",135388
37161,"Rutherford County, North Carolina",65306
37163,"Sampson County, North Carolina",62674
37165,"Scotland County, North Carolina",32625
37167,"Stanly County, North Carolina",59171
37169,"Stokes County, North Carolina",45349
37171,"Surry County, North Carolina",71076
37173,"Swain County, North Carolina",14061
37175,"Transylvania County, North Carolina",32469
37177,"Tyrrell County, North Carolina",3425
37179,"Union County, North Carolina",223824
37181,"Vance County, North Carolina",43700
37183,"Wake County, North Carolina",1024221
37185,"Warren County, North Carolina",19078
37187,"Washington County, North Carolina",11955
37189,"Watauga County, North Carolina",48369
37191,"Wayne County, North Carolina",120644
37193,"Wilkes County, North Carolina",67389
37195,"Wilson County, North Carolina",79774
37197,"Yadkin County, North Carolina",37310
37199,"Yancey County, North Carolina",17509
